eng,tid,fam,reg,shape,n,ok_n,q1_ms,med_ms,q3_ms,q1_work,med_work,q3_work,med_out,med_agm
duck,C4,cycle,hub,cyclic,20,20,11.438,12.468,13.326,,,,892.5,
duck,C4,cycle,uniform,cyclic,20,20,9.125,9.821,10.32,,,,15.5,
duck,P2,path,hub,acyclic,20,20,26.103,26.815,27.902,,,,586484,1746157086
duck,P2,path,uniform,acyclic,20,20,17.375,20.186,22.841,,,,10774.5,176546688
duck,P3,path,hub,acyclic,20,20,1245.331,1826.62,2169.563,,,,211951006,1628229415.5
duck,P3,path,uniform,acyclic,20,20,23.609,42.602,225.598,,,,487994,155857623
duck,T1,tri,hub,cyclic,20,20,21.75,23.355,27.192,,,,45761,6128527.316
duck,T1,tri,uniform,cyclic,20,20,14.527,16.086,16.799,,,,1606,2742691.249
duck,T2,tri,hub,cyclic,20,20,23.192,23.922,28.514,,,,62113,5986037.44
duck,T2,tri,uniform,cyclic,20,20,15.553,16.845,20.408,,,,2509.5,3649732.445
neo,C4,cycle,hub,cyclic,20,20,14.715,18.733,20.47,,,,892.5,
neo,C4,cycle,uniform,cyclic,20,20,9.053,10.579,14.566,,,,15.5,
neo,P2,path,hub,acyclic,20,0,348.081,400.827,515.425,,,,586484,1746157086
neo,P2,path,uniform,acyclic,20,0,14.15,18.66,59.968,,,,10774.5,176546688
neo,P3,path,hub,acyclic,20,0,39399.389,39399.389,39399.389,,,,62212387,1628229415.5
neo,P3,path,uniform,acyclic,20,0,54.249,213.775,3798.924,,,,304651,155857623
neo,T1,tri,hub,cyclic,20,0,97.424,109.14,125.868,,,,45761,6128527.316
neo,T1,tri,uniform,cyclic,20,0,20.177,28.538,40.991,,,,1606,2742691.249
neo,T2,tri,hub,cyclic,20,0,82.714,103.488,117.422,,,,62113,5986037.44
neo,T2,tri,uniform,cyclic,20,0,29.628,37.129,50.35,,,,2509.5,3649732.445
pg,C4,cycle,hub,cyclic,20,20,32.794,42.764,48.337,7728.5,11799,16522.5,892.5,
pg,C4,cycle,uniform,cyclic,20,20,3.556,5.913,11.96,200.25,877,2295.5,15.5,
pg,P2,path,hub,acyclic,20,20,130.046,167.873,227.053,1023990.5,1173858,1550316.75,586484,1746157086
pg,P2,path,uniform,acyclic,20,20,1.407,5.048,31.662,2777,21687.5,138900.25,10774.5,176546688
pg,P3,path,hub,acyclic,20,5,34582.515,40905.42,48022.457,157965274,179825858,206325908,89618707,1628229415.5
pg,P3,path,uniform,acyclic,20,19,31.402,106.576,1414.944,116462,625882,10234809.5,304651,155857623
pg,T1,tri,hub,cyclic,20,20,31.536,36.316,43.179,148663,155085.5,202494,45761,6128527.316
pg,T1,tri,uniform,cyclic,20,20,1.745,3.383,5.843,1082.75,9463,19600,1606,2742691.249
pg,T2,tri,hub,cyclic,20,20,27.949,40.327,41.735,108009.25,201362,213123,62113,5986037.44
pg,T2,tri,uniform,cyclic,20,20,3.15,4.697,14.332,8043,13739,58563.75,2509.5,3649732.445
